"","date","Spending_on_all_cards"
"157",2020-08-10,98.9331354751772
"158",2020-08-11,97.4998198729843
"159",2020-08-12,96.7553471830847
"160",2020-08-13,96.2593650900673
"161",2020-08-14,96.4448081456785
"162",2020-08-15,96.8396215143478
"163",2020-08-16,97.1377451233754
"164",2020-08-17,97.1100168635158
"165",2020-08-18,97.0612711553848
"166",2020-08-19,96.5617022984436
"167",2020-08-20,95.963574724932
"168",2020-08-21,95.5525613104066
"169",2020-08-22,95.9223167613829
"170",2020-08-23,95.9734340025894
"171",2020-08-24,96.0094150959902
"172",2020-08-25,96.5450035300324
"173",2020-08-26,97.6391733507755
"174",2020-08-27,99.0698386265748
"175",2020-08-28,100.720634884585
"176",2020-08-29,101.821548766132
"177",2020-08-30,102.510012066718
"178",2020-08-31,103.763446733482
"179",2020-09-01,105.281472464529
"180",2020-09-02,105.11662147187
"181",2020-09-03,104.789728125502
"182",2020-09-04,103.591254585105
"183",2020-09-05,102.882745716018
"184",2020-09-06,102.488681117482
"185",2020-09-07,101.307204290016
"186",2020-09-08,98.9942682574459
"187",2020-09-09,98.3807292248472
"188",2020-09-10,97.8929853676186
"189",2020-09-11,97.9172111737546
"190",2020-09-12,97.9149438061982
"191",2020-09-13,97.9076703630768
"192",2020-09-14,97.665847362026
"193",2020-09-15,97.9781690445163
"194",2020-09-16,97.9337612447619
"195",2020-09-17,98.1321534556593
"196",2020-09-18,98.0439240350193
"197",2020-09-19,97.7769329747316
"198",2020-09-20,97.7350982354712
"199",2020-09-21,97.8632339818461
"200",2020-09-22,97.6272642006444
"201",2020-09-23,98.3362967054997
"202",2020-09-24,99.0541599062594
"203",2020-09-25,100.872965587298
"204",2020-09-26,101.682005671738
"205",2020-09-27,102.155532915193
"206",2020-09-28,102.952953770413
"207",2020-09-29,103.51197234008
"208",2020-09-30,104.090036430686
"209",2020-10-01,104.481161726267
"210",2020-10-02,102.893713097548
"211",2020-10-03,102.326518167828
"212",2020-10-04,101.635374456122
"213",2020-10-05,101.286669749246
"214",2020-10-06,101.652992856496
"215",2020-10-07,100.470994753687
"216",2020-10-08,99.2062432342134
"217",2020-10-09,98.9311632437432
"218",2020-10-10,98.6701122953393
"219",2020-10-11,98.4327492819169
"220",2020-10-12,97.7578786209648
"221",2020-10-13,96.8221848512858
"222",2020-10-14,96.0518905838078
"223",2020-10-15,95.7489167018745
"224",2020-10-16,95.3845757941669
"225",2020-10-17,95.7341907155061
"226",2020-10-18,96.0166195050087
"227",2020-10-19,97.1759528390338
"228",2020-10-20,99.5988121448785
"229",2020-10-21,103.052738376163
"230",2020-10-22,101.994671897715
"231",2020-10-23,101.403539140736
"232",2020-10-24,99.2030996750529
"233",2020-10-25,97.7492606149193
"234",2020-10-26,92.236692749283
"235",2020-10-27,89.4136707730222
"236",2020-10-28,86.4763022110304
"237",2020-10-29,87.852669958067
"238",2020-10-30,89.167852965234
"239",2020-10-31,89.2371874897509
"240",2020-11-01,89.9172629629366
"241",2020-11-02,94.0075127647959
"242",2020-11-03,95.0466215705108
"243",2020-11-04,94.5372563891121
"244",2020-11-05,93.8241703127137
"245",2020-11-06,92.6067844974388
"246",2020-11-07,92.8596588720003
"247",2020-11-08,92.7361684643725
"248",2020-11-09,92.6336096821537
"249",2020-11-10,91.9051271173202
"250",2020-11-11,92.0247906571285
"251",2020-11-12,92.188703298908
"252",2020-11-13,92.4526931067765
"253",2020-11-14,92.8810923398585
"254",2020-11-15,93.0785523959651
"255",2020-11-16,93.1214626171326
"256",2020-11-17,93.1874049048228
"257",2020-11-18,93.4657899772736
"258",2020-11-19,93.5089016868667
"259",2020-11-20,93.8961695346453
"260",2020-11-21,94.2231233292436
"261",2020-11-22,94.999343601852
"262",2020-11-23,96.0425722405024
"263",2020-11-24,97.2244845921601
"264",2020-11-25,99.0593421377489
"265",2020-11-26,101.906711142726
"266",2020-11-27,107.794604645317
"267",2020-11-28,110.097236300772
"268",2020-11-29,111.747126011013
"269",2020-11-30,114.655531228098
"270",2020-12-01,119.72829135836
