"","date","Austria","Belgium","Bulgaria","Croatia","Cyprus","Czechia","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Poland","Portugal","Romania","Slovakia","Slovenia","Sweden","United.Kingdom"
"768",2022-02-27,4380.41377052696,1073.30798368891,738.510171157618,899.872088190948,3430.76085256405,1672.12529812766,7248.62433024961,5400.35627481469,1227.92668757914,1463.41860862784,2816.33240729468,2156.7985898587,851.172381670022,NA,1091.59701101794,6816.88444807413,3559.60810025396,1381.99754354986,246.779007170369,3144.01617436429,681.745665820061,1955.65330497381,857.15501303204,4661.69494062936,2122.77525003508,428.262050002028,747.078132957959
"769",2022-02-28,4348.05037942605,958.271729111531,690.353296603062,893.640864658316,3365.22818270143,1604.3399876054,7026.51237555935,5354.01035612385,1003.53049763869,1444.03129171446,2799.32911433405,2118.596695317,721.106717490951,NA,1074.2045674101,6789.38398973316,3465.69875140649,1355.44572841565,240.295486456533,3001.37199261458,663.543168728194,1865.50690757474,819.492359766108,4572.83941919349,1980.09714989803,428.262050002028,808.245074445236
"770",2022-03-01,4316.78194784268,903.843815369692,633.953610829883,838.173162267439,3289.87702920086,1282.21187252343,6605.9705333081,5440.21074561072,1280.08403167933,1563.10391839133,2754.63343647934,2074.30599503068,696.814695874941,1094.58346247329,1034.63004841024,6707.03886731446,3395.2309511471,1367.33703212607,233.001525653468,2842.91960444998,639.117798281571,1821.2997526326,750.348013835874,4461.10493116036,1754.2342092971,382.212051883715,887.685876021155
"771",2022-03-02,4327.24614859278,792.858010187055,594.682401055194,757.58430673713,3239.64292686714,1391.72566620969,6218.61803168092,5185.61012062016,1192.36980463106,1289.58785432347,2714.2018318097,2037.45613239246,642.132065918764,1055.39288452441,998.309364354729,6662.7152119202,3270.57917445666,1414.73935239634,228.341495140399,2797.27138321748,601.9280320878,1747.11191435859,695.672266513956,4229.32467051628,1613.67057073162,361.684563866636,872.678474050008
"772",2022-03-03,4352.66727058764,759.991755938775,544.368395661796,688.010488081436,3222.06099105034,1316.18434148998,5519.35117680928,4964.44800048308,1157.50158710195,1241.59111315954,2684.14493401666,2002.78816951571,593.875463584684,1035.34900412704,972.684585798574,6522.34828913815,3223.69607728052,1461.32719980974,231.785865519624,2849.31926634415,561.967862690812,1641.17238192296,647.146574990659,4066.65833703488,1480.36337983227,345.800198139134,863.710343517961
"773",2022-03-04,4362.95085945856,803.708675268227,508.782879638242,632.861706580025,3075.12624172422,1246.10790812973,5484.66340721048,4706.75261544965,1209.27835294429,1204.50869126165,2681.1877872174,1978.9737592986,548.688619668802,1019.0365887477,947.258615894825,6386.46060767679,3192.70312907096,1464.09640752312,235.635455943464,3050.12167747752,531.709371431328,1595.26233195224,601.19113291754,3923.05475118344,1389.10514064053,323.650061069277,859.716171947556
"774",2022-03-05,4379.27365803963,803.708675268227,491.397262215253,583.772421978458,3083.11803073185,1193.60926965765,5182.06687092378,4410.48595280868,1209.27835294429,1170.37495611105,2684.92788530771,1957.45314113842,548.688619668802,1019.0365887477,931.832721207015,6165.72776212937,3054.91692744644,1464.09640752312,245.563347036525,3228.15494796571,510.204511585816,1585.00603846577,562.652843566377,3756.40707387558,1297.3663420007,323.650061069277,800.871911749154
"775",2022-03-06,4445.30987636552,803.708675268227,481.111605235342,554.82421816544,3084.71638853338,1159.07340982929,4926.07664274749,4224.04553071361,1209.27835294429,1149.96843218937,2683.55109557591,1953.88191204165,548.688619668802,1019.0365887477,921.373729351775,6020.72534542242,2947.44369017932,1464.09640752312,250.020767527286,3406.44281621461,494.432700954567,1584.82115271981,538.933407257622,3620.56435640476,1232.63498434337,323.650061069277,754.343263966187
"776",2022-03-07,4511.92179505631,780.540803083649,447.068937758775,551.021699867967,2957.53277489756,1016.22565681985,4639.17055239154,4104.25567246871,1294.41914605851,1145.94084841865,2689.04500455816,1865.77605372471,472.875819267359,934.150857217428,918.355151312768,5956.92219870331,2893.22392512447,1541.63422349787,249.615547482672,3578.77078233784,484.230664824085,1590.46503338599,515.775408203515,3542.40525640129,1171.89227010517,323.650061069277,886.35348520428
"777",2022-03-08,4571.0270325186,773.0247752197,411.540564273999,531.542993234461,3114.28600786164,1114.05847997145,4380.73461255535,3956.61297383795,1244.65400815054,1139.47641978036,2726.26169077271,1879.35231890722,454.395873589804,956.070665383423,919.375702395111,5764.21065351089,2849.776535833,1538.21343749898,263.59563902188,3962.00984795711,469.496438662483,1588.3145202356,467.800852333864,3510.70128344214,1214.18150153683,287.560782136393,917.618155757447
